d1_filter,adx_gate,hurst_gate,vov_gate,rsi_div,entry,exit,partial,oos_trades,oos_total_pips,oos_avg_pips,wf_trades,wf_total_pips,wf_avg_pips
ema_20_50,0,0.0,reject_p75,on,pullback,regime_tighten,50pct_1R,28028,-64460.06,-2.2998,0,0.0,0.0
off,0,0.0,off,off,immediate,regime_flip,50pct_1R,155430,-358687.5,-2.3077,0,0.0,0.0
off,0,0.0,off,off,immediate,regime_flip,off,155430,-358687.5,-2.3077,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,pullback,regime_tighten,50pct_1R,3678,-8488.73,-2.308,0,0.0,0.0
off,20,0.0,off,off,pullback,atr_3.0,off,94383,-217876.61,-2.3084,0,0.0,0.0
off,20,0.0,off,on,pullback,atr_3.0,off,87407,-202261.91,-2.314,0,0.0,0.0
ema_50_200,0,0.0,off,on,pullback,atr_2.5,50pct_1R,33321,-77143.32,-2.3152,0,0.0,0.0
off,20,0.53,reject_p75,on,pullback,regime_tighten,50pct_1R,13550,-31378.15,-2.3157,0,0.0,0.0
off,0,0.53,off,off,pullback,atr_2.5,50pct_1R,33359,-77377.79,-2.3195,11061,-26931.75,-2.4348
ema_50_200,25,0.53,off,on,pullback,regime_tighten,50pct_1R,5128,-11902.81,-2.3211,0,0.0,0.0
off,0,0.0,reject_p75,on,immediate,regime_flip,off,125962,-292452.5,-2.3218,0,0.0,0.0
off,0,0.0,reject_p75,on,immediate,regime_flip,50pct_1R,125962,-292452.5,-2.3218,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,off,pullback,atr_3.0,off,16060,-37309.89,-2.3232,0,0.0,0.0
ema_50_200,25,0.0,off,off,pullback,regime_tighten,50pct_1R,14520,-33754.54,-2.3247,0,0.0,0.0
ema_20_50,20,0.53,reject_p75,off,immediate,regime_tighten,off,7442,-17304.57,-2.3253,0,0.0,0.0
ema_20_50,20,0.0,off,off,pullback,regime_tighten,off,25396,-59063.84,-2.3257,0,0.0,0.0
ema_20_50,20,0.53,off,on,immediate,atr_2.5,50pct_1R,9985,-23227.46,-2.3262,3245,-3788.51,-1.1675
ema_50_200,0,0.0,reject_p75,off,pullback,atr_2.5,50pct_1R,25888,-60237.62,-2.3269,0,0.0,0.0
off,0,0.0,reject_p75,off,immediate,regime_flip,50pct_1R,133192,-310489.8,-2.3311,0,0.0,0.0
off,0,0.0,reject_p75,off,immediate,regime_flip,off,133192,-310489.8,-2.3311,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,on,pullback,atr_2.5,50pct_1R,14975,-34974.78,-2.3355,0,0.0,0.0
ema_20_50,20,0.0,reject_p75,off,immediate,regime_tighten,off,19544,-45668.37,-2.3367,0,0.0,0.0
ema_50_200,25,0.0,reject_p75,off,pullback,atr_2.5,50pct_1R,10612,-24808.24,-2.3378,0,0.0,0.0
off,20,0.53,off,off,pullback,atr_2.5,off,20939,-49000.91,-2.3402,7054,-19532.66,-2.769
off,20,0.0,reject_p75,on,pullback,atr_3.0,off,74664,-174938.17,-2.343,0,0.0,0.0
off,20,0.53,off,off,immediate,atr_3.0,off,21940,-51469.59,-2.3459,7388,-17781.69,-2.4068
ema_50_200,0,0.53,off,on,pullback,atr_3.0,50pct_1R,12993,-30500.34,-2.3474,0,0.0,0.0
ema_50_200,0,0.0,reject_p75,on,pullback,atr_2.5,off,24596,-57776.82,-2.349,0,0.0,0.0
ema_50_200,25,0.0,reject_p75,on,pullback,regime_tighten,50pct_1R,9707,-22850.98,-2.3541,0,0.0,0.0
off,20,0.53,off,on,immediate,atr_3.0,off,20461,-48215.61,-2.3565,6887,-14804.29,-2.1496
ema_20_50,20,0.53,off,off,immediate,atr_2.5,50pct_1R,10728,-25287.35,-2.3571,3501,-5168.47,-1.4763
ema_50_200,20,0.0,off,off,pullback,atr_3.0,50pct_1R,22000,-51876.78,-2.358,0,0.0,0.0
ema_20_50,0,0.53,off,on,pullback,regime_tighten,off,15389,-36310.61,-2.3595,4809,-8135.34,-1.6917
ema_50_200,0,0.0,off,off,immediate,atr_3.0,off,36939,-87310.51,-2.3636,0,0.0,0.0
off,20,0.0,reject_p75,off,pullback,atr_3.0,off,80689,-190831.26,-2.365,0,0.0,0.0
ema_50_200,25,0.0,off,off,pullback,atr_2.5,off,14520,-34341.58,-2.3651,0,0.0,0.0
ema_50_200,0,0.53,off,off,pullback,atr_3.0,50pct_1R,13646,-32361.99,-2.3715,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,on,immediate,atr_2.5,off,15762,-37384.86,-2.3718,0,0.0,0.0
ema_20_50,20,0.53,reject_p75,on,immediate,atr_2.5,50pct_1R,6937,-16463.11,-2.3732,2788,-5881.65,-2.1096
ema_50_200,25,0.0,off,on,pullback,regime_tighten,off,13294,-31555.78,-2.3737,0,0.0,0.0
ema_20_50,25,0.53,reject_p75,on,immediate,atr_3.0,50pct_1R,4594,-10916.52,-2.3763,1903,-1999.99,-1.051
off,25,0.53,reject_p75,off,immediate,atr_2.5,off,10092,-23986.54,-2.3768,4265,-10587.75,-2.4825
ema_50_200,0,0.0,off,off,pullback,atr_2.5,50pct_1R,35066,-83352.98,-2.377,0,0.0,0.0
ema_50_200,0,0.0,off,on,pullback,atr_3.0,50pct_1R,33321,-79225.91,-2.3777,0,0.0,0.0
off,0,0.53,reject_p75,off,pullback,atr_3.0,off,23290,-55383.1,-2.378,9396,-23288.59,-2.4786
ema_50_200,0,0.53,off,off,pullback,atr_2.5,off,13646,-32450.61,-2.378,0,0.0,0.0
off,20,0.0,off,on,immediate,regime_flip,off,91603,-217876.9,-2.3785,0,0.0,0.0
